Song,Album,Position,Features,Time
Say You Will,808s & Heartbreak,1,None,377
Welcome To Heartbreak,808s & Heartbreak,2,Kid Cudi,262
Heartless,808s & Heartbreak,3,None,211
Amazing,808s & Heartbreak,4,Jeezy,238
Love Lockdown,808s & Heartbreak,5,None,270
Paranoid,808s & Heartbreak,6,"Mr Hudson, Kid Cudi",277
RoboCop,808s & Heartbreak,7,None,274
Street Lights,808s & Heartbreak,8,None,189
Bad News,808s & Heartbreak,9,None,238
See You In My Nightmares,808s & Heartbreak,10,Lil Wayne,258
Coldest Winter,808s & Heartbreak,11,None,164
Pinocchio Story,808s & Heartbreak,12,None,361
Donda Chant,Donda (Deluxe),1,Syleena Johnson,52
Hurricane,Donda (Deluxe),2,"The Weeknd, Lil Baby, KayCyy",243
Moon,Donda (Deluxe),3,"Don Toliver, Kid Cudi",156
Life Of The Party,Donda (Deluxe),4,"André 3000, DMX",391
Off The Grid,Donda (Deluxe),5,"Fivio Foreign, Playboi Carti",339
Jail,Donda (Deluxe),6,"JAY-Z, Dem Jointz",297
Praise God,Donda (Deluxe),7,"Travis Scott, Baby Keem",226
Come To Life,Donda (Deluxe),8,"Tyler, The Creator",310
Believe What I Say,Donda (Deluxe),9,Buju Banton,242
No Child Left Behind,Donda (Deluxe),10,Bory,178
Up From The Ashes,Donda (Deluxe),11,Sunday Service Choir,162
Remote Control Pt 2,Donda (Deluxe),12,"Young Thug, Kid Cudi",323
God Breathed,Donda (Deluxe),13,Bory,333
Lord I Need You,Donda (Deluxe),14,None,162
24,Donda (Deluxe),15,Sunday Service Choir,197
Junya,Donda (Deluxe),16,Playboi Carti,147
Never Abandon Your Family,Donda (Deluxe),17,None,207
Donda,Donda (Deluxe),18,"Stalone, Sunday Service Choir",128
Keep My Spirit Alive,Donda (Deluxe),19,"KayCyy, Westside Gunn, Conway the Machine, Royce da 5'9",221
Jesus Lord Pt 2,Donda (Deluxe),20,"Jay Electronica, Sheek Louch, Jadakiss, Styles P, Larry Hoover Jr.",725
Heaven And Hell,Donda (Deluxe),21,None,145
Remote Control,Donda (Deluxe),22,Young Thug,198
Tell The Vision,Donda (Deluxe),23,Pop Smoke,104
Jonah,Donda (Deluxe),24,"Lil Durk, Bory",195
Pure Souls,Donda (Deluxe),25,"Roddy Rich, Shenseea",358
Ok Ok,Donda (Deluxe),26,"Fivio Foreign, Lil Yachty, Rooga",204
New Again,Donda (Deluxe),27,Sunday Service Choir,183
Jesus Lord,Donda (Deluxe),28,"Jay Electronica, Larry Hoover Jr.",573
Ok Ok Pt 2,Donda (Deluxe),29,"Fivio Foreign, Shenseea",154
Junya Pt 2,Donda (Deluxe),30,"Playboi Carti, Ty Dolla $ign",182
Jail Pt 2,Donda (Deluxe),31,"DaBaby, Marilyn Manson, Dem Jointz",296
Keep My Spirit Alive Pt 2,Donda (Deluxe),32,"KayCyy, Westside Gunn, Conway the Machine, Royce da 5'9",221
Good Morning,Graduation,1,None,195
Champion,Graduation,2,None,167
Stronger,Graduation,3,None,311
I Wonder,Graduation,4,None,243
Good Life,Graduation,5,T-Pain,207
Can't Tell Me Nothing,Graduation,6,Jeezy,271
Barry Bonds,Graduation,7,Lil Wayne,204
Drunk And Hot Girls,Graduation,8,Mos Def,313
Flashing Lights,Graduation,9,Dwele,237
Everything I Am,Graduation,10,DJ Premier,227
The Glory,Graduation,11,None,212
Homecoming,Graduation,12,Chris Martin,203
Big Brother,Graduation,13,None,287
Good Night,Graduation,14,"Mos Def, Albe Back",185
Every Hour,JESUS IS KING,1,Sunday Service Choir,112
Selah,JESUS IS KING,2,Sunday Service Choir,164
Follow God,JESUS IS KING,3,None,104
Closed On Sunday,JESUS IS KING,4,A$AP Bari,151
On God,JESUS IS KING,5,None,136
Everything We Need,JESUS IS KING,6,"Ty Dolla $ign, Ant Clemons",116
Water,JESUS IS KING,7,Ant Clemons,168
God Is,JESUS IS KING,8,None,203
Hands On,JESUS IS KING,9,Fred Hammond,203
Use This Gospel,JESUS IS KING,10,"Pusha T, Kenny G, No Malice",213
Jesus Is Lord,JESUS IS KING,11,None,49
Feel The Love,KIDS SEE GHOSTS,1,"Kid Cudi, Pusha T",165
Fire,KIDS SEE GHOSTS,2,Kid Cudi,140
4th Dimension,KIDS SEE GHOSTS,3,Kid Cudi,153
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,4,"Kid Cudi, Ty Dolla $ign, Anthony Hamilton",206
Reborn,KIDS SEE GHOSTS,5,Kid Cudi,324
Kids See Ghosts,KIDS SEE GHOSTS,6,"Kid Cudi, Yasiin Bey",245
Cudi Montage,KIDS SEE GHOSTS,7,"Kid Cudi, Mr Hudson",197
Wake Up Mr. West,Late Registration,1,None,41
Heard 'Em Say,Late Registration,2,Adam Levine,203
Touch The Sky,Late Registration,3,Lupe Fiasco,236
Gold Digger,Late Registration,4,Jamie Foxx,207
Skit #1,Late Registration,5,None,33
Drive Slow,Late Registration,6,"Paul Wall, GLC",272
My Way Home,Late Registration,7,Common,103
Crack Music,Late Registration,8,The Game,270
Roses,Late Registration,9,None,245
