Song,Album,Posistion,Features,Time
F*ck Your Ethnicity,Section.80,1,Alori Joh,224
Hol' Up,Section.80,2,,173
A.D.H.D,Section.80,3,Ab-Soul,215
No Make-Up (Her Vice),Section.80,4,"Colin Munroe, Alori Joh",235
Tammy's Song (Her Evils),Section.80,5,,161
Chapter Six,Section.80,6,,161
Ronald Reagan Era,Section.80,7,"Ash Riser, Ab-Soul, RZA",216
Poe Mans Dreams (His Vice),Section.80,8,GLC,261
Chatpter Ten,Section.80,9,JaVonte,75
Keisha's Song (Her Pain),Section.80,10,Ashtro Bot,227
Rigamortus,Section.80,11,,168
Kush & Corinthians,Section.80,12,BJ The Chicago Kid,304
Blow My High (Members Only),Section.80,13,Aaliyah,215
Ab-Souls Outro,Section.80,14,"Ab-Soul, Alori Joh",350
HiiiPower,Section.80,15,Alori Joh,279
Sherane a.k.a Master Splinter's Daughter,"good kid, m.A.A.d city (Deluxe)",1,,273
"Bitch, Don't Kill My Vibe","good kid, m.A.A.d city (Deluxe)",2,Anna Wise,310
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",3,,212
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",4,,324
Money Trees,"good kid, m.A.A.d city (Deluxe)",5,"Jay Rock, Anna Wise",386
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",6,Drake,300
good kid,"good kid, m.A.A.d city (Deluxe)",7,Pharrell Williams,214
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",8,"MC Eiht, ScHoolboy Q",350
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",9,,313
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",10,,723
Real,"good kid, m.A.A.d city (Deluxe)",11,Anna Wise,443
Compton,"good kid, m.A.A.d city (Deluxe)",12,Dr. Dre,248
The Recipe,"good kid, m.A.A.d city (Deluxe)",13,Dr. Dre,256
Black Boy Fly,"good kid, m.A.A.d city (Deluxe)",14,Anna Wise,262
Now Or Never,"good kid, m.A.A.d city (Deluxe)",15,Mary J. Blige,278
Wesley's Theory,To Pimp A Butterfly,1,"Josef Leimberg, Thudercat, George Clinton, Anna Wise, Whitney Alford",287
For Free? - Interlude,To Pimp A Butterfly,2,,130
King Kunta,To Pimp A Butterfly,3,Whitney Alford,234
Institutionalized,To Pimp A Butterfly,4,"Anna Wise, Bilal, Taz Arnold, Snoop Dogg",271
These Walls,To Pimp A Butterfly,5,"Anna Wise, Thundercat, Bilal",300
u,To Pimp A Butterfly,6,,268
Alright,To Pimp A Butterfly,7,"Pharrell Williams, Thundercat",219
For Sale? - Interlude,To Pimp A Butterfly,8,Bilal,291
Momma,To Pimp A Butterfly,9,"Lalah Hathway, Taz Arnold",283
Hood Politics,To Pimp A Butterfly,10,,292
How Much A Dollar Cost,To Pimp A Butterfly,11,"James Fauntleroy, Ronald Isley",261
Complexion (A Zulu Love),To Pimp A Butterfly,12,"Pete Rock, JaVonte, Rapsody",263
The Blacker The Berry,To Pimp A Butterfly,13,"Lalah Hathaway, Assassin",328
You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,14,,241
i,To Pimp A Butterfly,15,,336
Mortal Man,To Pimp A Butterfly,16,James Fauntleroy,727
untitled 01 | 08.19.2014.,untitled unmastered.,1,Bilal,247
untitled 02 | 06.23.2014.,untitled unmastered.,2,,258
untitled 03 | 05.28.2013.,untitled unmastered.,3,"Mani Strings, Bilal",154
untitled 04 | 08.14.2014.,untitled unmastered.,4,"SZA, Lance Skiiiwalker",110
untitled 05 | 09.21.2014.,untitled unmastered.,5,"Anna Wise, Punch, Jay Rock",338
untitled 06 | 06.30.2014.,untitled unmastered.,6,CeeLo Green,208
untitled 07 | 2014 - 2016,untitled unmastered.,7,"Egypt, Taz Arnold",496
untitled 08 | 09.06.2014.,untitled unmastered.,8,,235
BLOOD.,DAMN.,1,Bekon,118
DNA.,DAMN.,2,,185
YAH.,DAMN.,3,,160
ELEMENT.,DAMN.,4,,208
FEEL.,DAMN.,5,,214
LOYALTY.,DAMN.,6,"DJ Dahi, Rihanna",227
PRIDE.,DAMN.,7,"Bekon, Steve Lacy, Anna Wise",275
HUMBLE.,DAMN.,8,,177
LUST.,DAMN.,9,,307
LOVE.,DAMN.,10,Zacari,213
XXX.,DAMN.,11,"Bekon, U2",254
FEAR.,DAMN.,12,"Charles Edward Sydney Isom Jr., Bekon",460
GOD.,DAMN.,13,,248
DUCKWORTH.,DAMN.,14,Bekon,248
United In Grief,Mr. Morale & The Big Steppers,1,Sam Dew,255
